group,company,inn,risk_score,risk_label,overall,coverage_score,mandatory_score,workflow_completion_percent,positive_allowed,resolved,partial,unavailable_or_error,primary_sources,fallback_sources,top_factors,fssp_validation,data_quality_flags
Налоговые факторы,"ООО ""АПК""",7327080600,60,Высокий риск,Высокий риск,67,67,100,False,registration | tax_debt | tax_offence | finance | cbr_warning | management | regulatory_inspections,bankruptcy | licences_sro,fssp | arbitration | general_courts | cbr_zsk | procurement_rnp,registration=firmoteka_registration | tax_debt=fns_tax_debt | tax_offence=fns_tax_offence | finance=fns_revenue_expenses | bankruptcy=firmoteka_bankruptcy | fssp=fssp_enforcement | arbitration=checko_arbitration_cases | general_courts=moscow_general_court_cases | cbr_warning=cbr_warning_list | cbr_zsk=cbr_zsk_direct | bankinform=capability_applicability_policy | management=fns_disqualified | licences_sro=firmoteka_licences_sro | regulatory_inspections=erknm_inspections | procurement_rnp=firmoteka_procurement,"registration=fns_egrul_egrip | tax_debt=firmoteka_tax | finance=firmoteka_finance | bankruptcy=fedresurs_bankruptcy,efrsb_direct | fssp=firmoteka_fssp,fssp_direct | cbr_zsk=cbr_zsk | management=firmoteka_management | licences_sro=licences_sro",Процедура: конкурсное производство — 16.2 балла | Регистрационный статус: Не действует — 10.8 балла | Налоговая задолженность: 13 660 610 690.17 ₽ — 6 баллов,NOT_IN_VALIDATION_MATRIX,
Налоговые факторы,"ООО ""АЛЬФА ЛЮКС""",7329004869,60,Высокий риск,Высокий риск,78,78,100,False,registration | fssp | tax_debt | tax_offence | finance | cbr_warning | management | regulatory_inspections,bankruptcy | licences_sro,arbitration | general_courts | cbr_zsk | procurement_rnp,registration=firmoteka_registration | tax_debt=fns_tax_debt | tax_offence=fns_tax_offence | finance=fns_revenue_expenses | bankruptcy=firmoteka_bankruptcy | fssp=firmoteka_fssp | arbitration=checko_arbitration_cases | general_courts=moscow_general_court_cases | cbr_warning=cbr_warning_list | cbr_zsk=cbr_zsk_direct | bankinform=capability_applicability_policy | management=fns_disqualified | licences_sro=firmoteka_licences_sro | regulatory_inspections=erknm_inspections | procurement_rnp=firmoteka_procurement,"registration=fns_egrul_egrip | tax_debt=firmoteka_tax | finance=firmoteka_finance | bankruptcy=fedresurs_bankruptcy,efrsb_direct | fssp=fssp_enforcement,fssp_direct | cbr_zsk=cbr_zsk | management=firmoteka_management | licences_sro=licences_sro",Процедура: конкурсное производство — 16.2 балла | Регистрационный статус: Не действует — 10.8 балла | Финансовый результат: -9 750 000 ₽ — 7 баллов,NOT_IN_VALIDATION_MATRIX,
Налоговые факторы,"ООО ""УКТ-99""",6658096951,60,Высокий риск,Высокий риск,78,78,100,False,registration | fssp | tax_debt | tax_offence | finance | cbr_warning | management | regulatory_inspections,bankruptcy | licences_sro,arbitration | general_courts | cbr_zsk | procurement_rnp,registration=firmoteka_registration | tax_debt=fns_tax_debt | tax_offence=fns_tax_offence | finance=fns_revenue_expenses | bankruptcy=firmoteka_bankruptcy | fssp=firmoteka_fssp | arbitration=checko_arbitration_cases | general_courts=moscow_general_court_cases | cbr_warning=cbr_warning_list | cbr_zsk=cbr_zsk_direct | bankinform=capability_applicability_policy | management=fns_disqualified | licences_sro=firmoteka_licences_sro | regulatory_inspections=erknm_inspections | procurement_rnp=firmoteka_procurement,"registration=fns_egrul_egrip | tax_debt=firmoteka_tax | finance=firmoteka_finance | bankruptcy=fedresurs_bankruptcy,efrsb_direct | fssp=fssp_enforcement,fssp_direct | cbr_zsk=cbr_zsk | management=firmoteka_management | licences_sro=licences_sro",Процедура: конкурсное производство — 16.2 балла | Регистрационный статус: Не действует — 10.8 балла | Налоговая задолженность: 6 835 248 905.36 ₽ — 6 баллов,NOT_IN_VALIDATION_MATRIX,
Налоговые факторы,"ООО ""СК ""ЭВЕРЕСТ""",1215214540,41,Требует внимания,Требует внимания,78,78,100,False,registration | fssp | tax_debt | tax_offence | finance | cbr_warning | management | regulatory_inspections,bankruptcy | licences_sro,arbitration | general_courts | cbr_zsk | procurement_rnp,registration=firmoteka_registration | tax_debt=fns_tax_debt | tax_offence=fns_tax_offence | finance=fns_revenue_expenses | bankruptcy=firmoteka_bankruptcy | fssp=firmoteka_fssp | arbitration=checko_arbitration_cases | general_courts=moscow_general_court_cases | cbr_warning=cbr_warning_list | cbr_zsk=cbr_zsk_direct | bankinform=capability_applicability_policy | management=fns_disqualified | licences_sro=firmoteka_licences_sro | regulatory_inspections=erknm_inspections | procurement_rnp=firmoteka_procurement,"registration=fns_egrul_egrip | tax_debt=firmoteka_tax | finance=firmoteka_finance | bankruptcy=fedresurs_bankruptcy,efrsb_direct | fssp=fssp_enforcement,fssp_direct | cbr_zsk=cbr_zsk | management=firmoteka_management | licences_sro=official_licence_registries","Регистрационный статус: Не действует — 10.8 балла | Действующих производств: 36, остаток: 2 270 019 813.87 ₽ — 9 баллов | Процедура: возбуждено дело о банкротстве — 8.1 балла",UNVERIFIED,
Налоговые факторы,"ООО ""ФИРМА СУ-10""",0274101890,60,Высокий риск,Высокий риск,78,78,100,False,registration | fssp | tax_debt | tax_offence | finance | cbr_warning | management | regulatory_inspections,bankruptcy | licences_sro,arbitration | general_courts | cbr_zsk | procurement_rnp,registration=firmoteka_registration | tax_debt=fns_tax_debt | tax_offence=fns_tax_offence | finance=fns_revenue_expenses | bankruptcy=firmoteka_bankruptcy | fssp=firmoteka_fssp | arbitration=checko_arbitration_cases | general_courts=moscow_general_court_cases | cbr_warning=cbr_warning_list | cbr_zsk=cbr_zsk_direct | bankinform=capability_applicability_policy | management=fns_disqualified | licences_sro=firmoteka_licences_sro | regulatory_inspections=erknm_inspections | procurement_rnp=firmoteka_procurement,"registration=fns_egrul_egrip | tax_debt=firmoteka_tax | finance=firmoteka_finance | bankruptcy=fedresurs_bankruptcy,efrsb_direct | fssp=fssp_enforcement,fssp_direct | cbr_zsk=cbr_zsk | management=firmoteka_management | licences_sro=official_licence_registries","Процедура: наблюдение — 16.2 балла | Регистрационный статус: Не действует — 10.8 балла | Действующих производств: 74, остаток: 1 617 123 987.05 ₽ — 9 баллов",MISMATCH,FSSP direct/bridge mismatch: 96 vs 74
Налоговые факторы,"ООО ""СМУ ""ФРОНТ ИНЖИНИРИНГ""",7723741395,60,Высокий риск,Высокий риск,67,67,100,False,registration | tax_debt | tax_offence | finance | cbr_warning | management | regulatory_inspections,bankruptcy | licences_sro,fssp | arbitration | general_courts | cbr_zsk | procurement_rnp,registration=firmoteka_registration | tax_debt=fns_tax_debt | tax_offence=fns_tax_offence | finance=fns_revenue_expenses | bankruptcy=firmoteka_bankruptcy | fssp=fssp_enforcement | arbitration=checko_arbitration_cases | general_courts=moscow_general_court_cases | cbr_warning=cbr_warning_list | cbr_zsk=cbr_zsk_direct | bankinform=capability_applicability_policy | management=fns_disqualified | licences_sro=firmoteka_licences_sro | regulatory_inspections=erknm_inspections | procurement_rnp=firmoteka_procurement,"registration=fns_egrul_egrip | tax_debt=firmoteka_tax | finance=firmoteka_finance | bankruptcy=fedresurs_bankruptcy,efrsb_direct | fssp=firmoteka_fssp,fssp_direct | cbr_zsk=cbr_zsk | management=firmoteka_management | licences_sro=official_licence_registries",Процедура: конкурсное производство — 16.2 балла | Регистрационный статус: Не действует — 10.8 балла | Финансовый результат: -154 000 ₽ — 7 баллов,NOT_IN_VALIDATION_MATRIX,
Налоговые факторы,"ООО ""СОКРАТ""",3662075500,27,Умеренный риск,Умеренный риск,77,77,100,False,registration | fssp | tax_debt | tax_offence | finance | cbr_warning | management | regulatory_inspections,bankruptcy,arbitration | general_courts | cbr_zsk | procurement_rnp,registration=firmoteka_registration | tax_debt=fns_tax_debt | tax_offence=fns_tax_offence | finance=fns_revenue_expenses | bankruptcy=firmoteka_bankruptcy | fssp=firmoteka_fssp | arbitration=checko_arbitration_cases | general_courts=moscow_general_court_cases | cbr_warning=cbr_warning_list | cbr_zsk=cbr_zsk_direct | bankinform=capability_applicability_policy | management=fns_disqualified | licences_sro=capability_applicability_policy | regulatory_inspections=erknm_inspections | procurement_rnp=firmoteka_procurement,"registration=fns_egrul_egrip | tax_debt=firmoteka_tax | finance=firmoteka_finance | bankruptcy=fedresurs_bankruptcy,efrsb_direct | fssp=fssp_enforcement,fssp_direct | cbr_zsk=cbr_zsk | management=firmoteka_management","Действующих производств: 27, остаток: 630 226 674.2 ₽ — 9 баллов | Процедура: возбуждено дело о банкротстве — 8.1 балла | Налоговая задолженность: 626 399 548.06 ₽ — 6 баллов",UNVERIFIED,
Налоговые факторы,"ООО ""ТРАНСАГРО""",1635009350,60,Высокий риск,Высокий риск,77,77,100,False,registration | fssp | tax_debt | tax_offence | finance | cbr_warning | management | regulatory_inspections,bankruptcy,arbitration | general_courts | cbr_zsk | procurement_rnp,registration=firmoteka_registration | tax_debt=fns_tax_debt | tax_offence=fns_tax_offence | finance=fns_revenue_expenses | bankruptcy=firmoteka_bankruptcy | fssp=firmoteka_fssp | arbitration=checko_arbitration_cases | general_courts=moscow_general_court_cases | cbr_warning=cbr_warning_list | cbr_zsk=cbr_zsk_direct | bankinform=capability_applicability_policy | management=fns_disqualified | licences_sro=capability_applicability_policy | regulatory_inspections=erknm_inspections | procurement_rnp=firmoteka_procurement,"registration=fns_egrul_egrip | tax_debt=firmoteka_tax | finance=firmoteka_finance | bankruptcy=fedresurs_bankruptcy,efrsb_direct | fssp=fssp_enforcement,fssp_direct | cbr_zsk=cbr_zsk | management=firmoteka_management",Процедура: конкурсное производство — 16.2 балла | Регистрационный статус: Не действует — 10.8 балла | Финансовый результат: -3 868 000 ₽ — 7 баллов,NOT_IN_VALIDATION_MATRIX,
Действующие,"ООО ""МАТРЕШКА ГРУПП""",9731123460,2,Низкий наблюдаемый риск,Недостаточно данных для полного вывода,51,51,100,False,registration | tax_debt | tax_offence | finance | cbr_warning | management | regulatory_inspections,,bankruptcy | fssp | arbitration | general_courts | cbr_zsk | licences_sro | procurement_rnp,registration=firmoteka_registration | tax_debt=fns_tax_debt | tax_offence=fns_tax_offence | finance=fns_revenue_expenses | bankruptcy=efrsb_direct | fssp=fssp_enforcement | arbitration=checko_arbitration_cases | general_courts=moscow_general_court_cases | cbr_warning=cbr_warning_list | cbr_zsk=cbr_zsk_direct | bankinform=capability_applicability_policy | management=fns_disqualified | licences_sro=licences_sro | regulatory_inspections=erknm_inspections | procurement_rnp=firmoteka_procurement,"registration=fns_egrul_egrip | tax_debt=firmoteka_tax | finance=firmoteka_finance | bankruptcy=fedresurs_bankruptcy,firmoteka_bankruptcy_discovery | fssp=firmoteka_fssp,fssp_direct | cbr_zsk=cbr_zsk | management=firmoteka_management | licences_sro=firmoteka_licences_sro",Налоговая задолженность: 1 591 ₽ — 1 балл | Опубликовано налоговое правонарушение — 1 балл,NOT_IN_VALIDATION_MATRIX,
Действующие,"ООО ""КС-КРАН СТРОЙ""",9729326374,3,Низкий наблюдаемый риск,Недостаточно данных для полного вывода,64,64,100,False,registration | fssp | tax_debt | tax_offence | finance | cbr_warning | management | regulatory_inspections,,bankruptcy | arbitration | general_courts | cbr_zsk | procurement_rnp,registration=firmoteka_registration | tax_debt=fns_tax_debt | tax_offence=fns_tax_offence | finance=fns_revenue_expenses | bankruptcy=efrsb_direct | fssp=firmoteka_fssp | arbitration=checko_arbitration_cases | general_courts=moscow_general_court_cases | cbr_warning=cbr_warning_list | cbr_zsk=cbr_zsk_direct | bankinform=capability_applicability_policy | management=fns_disqualified | licences_sro=capability_applicability_policy | regulatory_inspections=erknm_inspections | procurement_rnp=firmoteka_procurement,"registration=fns_egrul_egrip | tax_debt=firmoteka_tax | finance=firmoteka_finance | bankruptcy=fedresurs_bankruptcy,firmoteka_bankruptcy_discovery | fssp=fssp_enforcement,fssp_direct | cbr_zsk=cbr_zsk | management=firmoteka_management","Действующих производств: 1, остаток: 0 ₽ — 1.98 балла | Налоговая задолженность: 187 252.62 ₽ — 1.02 балла",NOT_IN_VALIDATION_MATRIX,
Действующие,"ООО ""СТРОЙВЕСТ""",9729263501,4,Низкий наблюдаемый риск,Недостаточно данных для полного вывода,51,51,100,False,registration | tax_debt | tax_offence | finance | cbr_warning | management | regulatory_inspections,,bankruptcy | fssp | arbitration | general_courts | cbr_zsk | licences_sro | procurement_rnp,registration=firmoteka_registration | tax_debt=fns_tax_debt | tax_offence=fns_tax_offence | finance=fns_revenue_expenses | bankruptcy=efrsb_direct | fssp=fssp_enforcement | arbitration=checko_arbitration_cases | general_courts=moscow_general_court_cases | cbr_warning=cbr_warning_list | cbr_zsk=cbr_zsk_direct | bankinform=capability_applicability_policy | management=fns_disqualified | licences_sro=official_licence_registries | regulatory_inspections=erknm_inspections | procurement_rnp=firmoteka_procurement,"registration=fns_egrul_egrip | tax_debt=firmoteka_tax | finance=firmoteka_finance | bankruptcy=fedresurs_bankruptcy,firmoteka_bankruptcy_discovery | fssp=firmoteka_fssp,fssp_direct | cbr_zsk=cbr_zsk | management=firmoteka_management | licences_sro=firmoteka_licences_sro",Финансовый результат: -121 000 ₽ — 3 балла | Налоговая задолженность: 77 350.65 ₽ — 1.01 балла,NOT_IN_VALIDATION_MATRIX,
